iter	Logloss
0	0.6665244979
1	0.6459018926
2	0.6281770164
3	0.6158288216
4	0.6049496182
5	0.5890942743
6	0.5835219592
7	0.5786579918
8	0.5694790901
9	0.563004343
10	0.5539740478
11	0.5432736177
12	0.534488673
13	0.5250378736
14	0.5168963574
15	0.5121604141
16	0.5063964567
17	0.4959084578
18	0.4894339004
19	0.4890957239
20	0.4841316299
21	0.4792387063
22	0.4748563318
23	0.4697233328
24	0.4651725805
25	0.4615621798
26	0.459440805
27	0.4537851806
28	0.4526849422
29	0.4521620524
30	0.4475435789
31	0.4434644534
32	0.4391551744
33	0.4346015351
34	0.4291026317
35	0.4256236785
36	0.4250066933
37	0.4219061338
38	0.4166400511
39	0.4166052116
40	0.4157072418
41	0.4125475898
42	0.4104452956
43	0.4078089656
44	0.4073012638
45	0.403761734
46	0.4003730283
47	0.3982353905
48	0.3964041295
49	0.3955595629
50	0.3932382231
51	0.3903310222
52	0.3869489057
53	0.3836083495
54	0.3824373955
55	0.3803745952
56	0.3787271343
57	0.3764034826
58	0.3747712825
59	0.3740091633
60	0.3737642869
61	0.3722082174
62	0.3704382878
63	0.3674004062
64	0.3650881199
65	0.3626839158
66	0.3608486846
67	0.3593940039
68	0.3586680513
69	0.3566012755
70	0.3546827225
71	0.3517863953
72	0.3475434494
73	0.3461133428
74	0.3431092389
75	0.3413843779
76	0.3391664187
77	0.3372262587
78	0.3349778012
79	0.3328358369
80	0.3300094183
81	0.3275290185
82	0.3265799261
83	0.3262243152
84	0.3244131745
85	0.322060451
86	0.3208770554
87	0.3182363769
88	0.3171848762
89	0.3153974113
90	0.3134010471
91	0.3104336339
92	0.3088922604
93	0.3078038237
94	0.3063622088
95	0.3047643663
96	0.3019868004
97	0.3004865511
98	0.3001787056
99	0.2974770114
100	0.2934550462
101	0.2920832552
102	0.2902681899
103	0.2878829674
104	0.2865851473
105	0.2851559524
106	0.2812846711
107	0.2770559837
108	0.2761309756
109	0.2758685958
110	0.273903618
111	0.2722435899
112	0.2710661263
113	0.2691546136
114	0.2690545035
115	0.2652713555
116	0.2627135647
117	0.2617799675
118	0.26085768
119	0.2600765694
120	0.259320784
121	0.2568702694
122	0.2543346563
123	0.2535414396
124	0.2521391597
125	0.2488982447
126	0.2479793073
127	0.2464294093
128	0.2456950799
129	0.2456041787
130	0.2447940538
131	0.244023299
132	0.2432377802
133	0.242358068
134	0.2403974292
135	0.2395566941
136	0.2394922339
137	0.2378304397
138	0.2374239265
139	0.2364459335
140	0.2348264518
141	0.2320566198
142	0.2307443186
143	0.2295692145
144	0.2280097579
145	0.2265280882
146	0.2249752105
147	0.2249478192
148	0.2219279799
149	0.2208106379
150	0.2198834124
151	0.2198248096
152	0.2187587041
153	0.2176291964
154	0.216954476
155	0.2152232484
156	0.2136399892
157	0.2117290899
158	0.2098204801
159	0.2093961965
160	0.2082966786
161	0.2074854981
162	0.2064251146
163	0.2056228903
164	0.2039580051
165	0.2038128042
166	0.2021766859
167	0.2018204737
168	0.2005749111
169	0.199643106
170	0.1992728244
171	0.1985171732
172	0.1983902223
173	0.1978282659
174	0.1952522863
175	0.1945513512
176	0.1934602887
177	0.1934451084
178	0.1922145753
179	0.1913767629
180	0.1908859015
181	0.1902288065
182	0.1896508839
183	0.1887562479
184	0.1882918721
185	0.1877623356
186	0.1870356484
187	0.1848874167
188	0.1840171609
189	0.1823972246
190	0.1820858171
191	0.1816381963
192	0.1814414412
193	0.1810444231
194	0.1809771798
195	0.1806851581
196	0.1798840247
197	0.1794937097
198	0.1788951376
199	0.1775957235
200	0.1773785163
201	0.1764955521
202	0.1763014658
203	0.1759961659
204	0.1757819352
205	0.1752752407
206	0.1749034803
207	0.1739902878
208	0.1730311286
209	0.1725133777
210	0.1716412603
211	0.171583362
212	0.1713246051
213	0.1700103178
214	0.1694437584
215	0.1687192469
216	0.1684560483
217	0.1681712935
218	0.1674182298
219	0.1667193208
220	0.1656183811
221	0.1650439308
222	0.1640164857
223	0.1636615657
224	0.16353918
225	0.1630907919
226	0.1623369802
227	0.1613671482
228	0.1608362654
229	0.1604747056
230	0.1598292841
231	0.1594701481
232	0.1592932049
233	0.1588164586
234	0.1585597374
235	0.157722051
236	0.1572063325
237	0.1564640131
238	0.1558002706
239	0.1539144658
240	0.1530514745
241	0.1527760207
242	0.1519072267
243	0.1511172435
244	0.150766531
245	0.1502747745
246	0.1499144756
247	0.1493109272
248	0.1491990193
249	0.1484511416
250	0.1480116517
251	0.1472894762
252	0.1465610587
253	0.1460255643
254	0.1447995433
255	0.1444637667
256	0.1440992061
257	0.143739644
258	0.1434803623
259	0.1432201871
260	0.142704018
261	0.1422422154
262	0.1412156988
263	0.1404795784
264	0.1400643244
265	0.1392269217
266	0.1389587372
267	0.1385690516
268	0.137607063
269	0.1368351737
270	0.1361524469
271	0.1352565929
272	0.1349441266
273	0.1344491625
274	0.1340454153
275	0.1338659572
276	0.1337152418
277	0.1331293411
278	0.132760241
279	0.132435445
280	0.1321370995
281	0.1317170507
282	0.1312673088
283	0.1308306141
284	0.1304061135
285	0.1300311073
286	0.1290592928
287	0.1284768535
288	0.1281273561
289	0.1276889059
290	0.1267210941
291	0.1261420349
292	0.1255970095
293	0.1248465073
294	0.1247204248
295	0.1241417794
296	0.1238950929
297	0.1237221694
298	0.123391824
299	0.1230350548
300	0.122445022
301	0.1221857936
302	0.1221491028
303	0.1212565995
304	0.1205067313
305	0.120303965
306	0.1202009552
307	0.1197801187
308	0.1197230695
309	0.1196718307
310	0.1192954191
311	0.1191812961
312	0.1186945027
313	0.1181605675
314	0.1177771075
315	0.1175613617
316	0.1173098875
317	0.1171712479
318	0.1167971631
319	0.1165793689
320	0.115821489
321	0.1156784656
322	0.1153074451
323	0.1149937089
324	0.1146521107
325	0.1143117728
326	0.1136236779
327	0.1130934885
328	0.1128946778
329	0.1123472814
330	0.1118868402
331	0.1118676939
332	0.1116018365
333	0.1114210396
334	0.1111632814
335	0.1106764119
336	0.1102416739
337	0.1100672112
338	0.1089286626
339	0.107892434
340	0.1075578702
341	0.1072403335
342	0.1071316562
343	0.1069022478
344	0.10674737
345	0.1058368973
346	0.1055355093
347	0.1053858222
348	0.105163328
349	0.1036366327
350	0.1034292694
351	0.1028125377
352	0.1028028326
353	0.1025562446
354	0.1017805769
355	0.1012991632
356	0.1011861223
357	0.100437615
358	0.09978590505
359	0.09951245689
360	0.09920807772
361	0.09882249645
362	0.0985092505
363	0.09815098739
364	0.09782215051
365	0.09762986598
366	0.0974994383
367	0.09722563723
368	0.09632483977
369	0.09598246447
370	0.09581839414
371	0.09563650697
372	0.09458138051
373	0.09435423098
374	0.0942363077
375	0.09382824524
376	0.09347374458
377	0.09339560028
378	0.09324445616
379	0.09312463135
380	0.09277287529
381	0.09238581793
382	0.09230967362
383	0.09206905823
384	0.09146551396
385	0.09133946456
386	0.09107505712
387	0.09080180062
388	0.09064157434
389	0.09034602069
390	0.08971930918
391	0.08950051617
392	0.08924191626
393	0.08912403212
394	0.08861225839
395	0.08826685548
396	0.08794014704
397	0.08761263588
398	0.08732311214
399	0.086908465
