iter	Passed	Remaining
0	71	28578
1	123	24519
2	182	24113
3	203	20174
4	222	17552
5	270	17794
6	299	16829
7	318	15590
8	403	17543
9	465	18152
10	565	19992
11	622	20134
12	672	20034
13	727	20057
14	780	20022
15	832	19981
16	882	19893
17	932	19788
18	990	19871
19	1003	19074
20	1113	20091
21	1200	20626
22	1271	20840
23	1325	20760
24	1376	20640
25	1426	20516
26	1478	20428
27	1530	20329
28	1567	20055
29	1635	20173
30	1687	20081
31	1739	19998
32	1808	20114
33	1863	20061
34	1914	19966
35	1963	19853
36	1988	19508
37	2041	19449
38	2091	19361
39	2117	19054
40	2167	18982
41	2218	18912
42	2270	18846
43	2321	18785
44	2349	18537
45	2404	18503
46	2457	18457
47	2509	18404
48	2559	18337
49	2588	18119
50	2654	18162
51	2714	18167
52	2792	18280
53	2845	18234
54	2901	18200
55	2950	18127
56	3001	18061
57	3055	18015
58	3110	17978
59	3165	17937
60	3186	17709
61	3241	17672
62	3297	17638
63	3351	17593
64	3406	17558
65	3460	17513
66	3515	17473
67	3572	17441
68	3640	17462
69	3691	17404
70	3744	17350
71	3793	17280
72	3843	17216
73	3889	17136
74	3936	17059
75	3985	16990
76	4032	16914
77	4079	16842
78	4128	16776
79	4178	16713
80	4230	16659
81	4281	16605
82	4332	16546
83	4358	16397
84	4409	16342
85	4460	16286
86	4511	16231
87	4561	16173
88	4612	16119
89	4667	16075
90	4719	16026
91	4781	16008
92	4836	15967
93	4893	15929
94	4978	15983
95	5031	15931
96	5077	15860
97	5128	15803
98	5168	15715
99	5219	15657
100	5268	15595
101	5316	15532
102	5367	15475
103	5415	15412
104	5466	15357
105	5519	15307
106	5569	15251
107	5618	15191
108	5668	15132
109	5716	15070
110	5779	15048
111	5828	14986
112	5877	14926
113	5925	14865
114	5972	14800
115	6019	14737
116	6068	14677
117	6116	14616
118	6165	14558
119	6213	14497
120	6259	14434
121	6309	14378
122	6356	14315
123	6416	14282
124	6482	14261
125	6543	14229
126	6595	14178
127	6642	14116
128	6691	14056
129	6742	14004
130	6799	13962
131	6845	13898
132	6894	13840
133	6943	13784
134	6993	13728
135	7042	13670
136	7090	13610
137	7163	13600
138	7211	13540
139	7258	13480
140	7305	13419
141	7356	13365
142	7403	13306
143	7451	13247
144	7500	13190
145	7549	13133
146	7599	13079
147	7647	13021
148	7693	12960
149	7742	12903
150	7790	12847
151	7838	12789
152	7888	12734
153	7937	12678
154	7993	12634
155	8050	12591
156	8098	12535
157	8144	12474
158	8190	12415
159	8238	12358
160	8286	12301
161	8333	12243
162	8380	12185
163	8429	12129
164	8476	12072
165	8522	12013
166	8571	11958
167	8620	11904
168	8670	11850
169	8718	11795
170	8765	11738
171	8814	11684
172	8863	11629
173	8910	11572
174	8960	11520
175	9009	11466
176	9059	11413
177	9107	11358
178	9156	11305
179	9205	11250
180	9255	11198
181	9342	11190
182	9391	11135
183	9441	11083
184	9505	11047
185	9552	10990
186	9599	10933
187	9648	10880
188	9697	10826
189	9749	10775
190	9796	10719
191	9845	10665
192	9894	10612
193	9941	10556
194	9990	10502
195	10039	10449
196	10089	10396
197	10139	10344
198	10189	10291
199	10237	10237
200	10309	10206
201	10368	10162
202	10426	10118
203	10483	10072
204	10530	10016
205	10581	9965
206	10629	9910
207	10676	9855
208	10727	9803
209	10776	9749
210	10823	9694
211	10871	9640
212	10921	9588
213	10972	9536
214	11020	9482
215	11068	9428
216	11117	9375
217	11166	9322
218	11214	9268
219	11262	9214
220	11310	9161
221	11360	9108
222	11409	9055
223	11457	9002
224	11517	8958
225	11565	8904
226	11614	8851
227	11672	8805
228	11722	8753
229	11771	8700
230	11821	8648
231	11868	8594
232	11914	8539
233	11962	8486
234	12012	8434
235	12061	8381
236	12109	8328
237	12155	8273
238	12203	8220
239	12251	8167
240	12298	8113
241	12344	8059
242	12392	8006
243	12442	7955
244	12500	7908
245	12561	7863
246	12612	7812
247	12659	7759
248	12707	7706
249	12754	7652
250	12803	7600
251	12850	7546
252	12898	7494
253	12945	7441
254	12992	7387
255	13040	7335
256	13089	7283
257	13139	7231
258	13187	7179
259	13237	7127
260	13284	7075
261	13334	7023
262	13381	6970
263	13429	6918
264	13479	6866
265	13526	6814
266	13577	6763
267	13629	6713
268	13686	6665
269	13734	6613
270	13782	6560
271	13832	6509
272	13883	6458
273	13945	6412
274	14004	6365
275	14053	6314
276	14101	6261
277	14149	6209
278	14202	6159
279	14251	6107
280	14301	6056
281	14349	6004
282	14396	5952
283	14443	5899
284	14492	5847
285	14541	5796
286	14588	5744
287	14636	5691
288	14683	5639
289	14747	5593
290	14794	5541
291	14844	5490
292	14891	5438
293	14942	5387
294	14990	5335
295	15040	5284
296	15089	5232
297	15136	5180
298	15184	5129
299	15232	5077
300	15281	5026
301	15329	4974
302	15376	4922
303	15424	4870
304	15471	4818
305	15518	4767
306	15565	4715
307	15614	4664
308	15662	4612
309	15716	4562
310	15765	4511
311	15812	4460
312	15878	4413
313	15928	4362
314	15981	4312
315	16029	4261
316	16077	4209
317	16124	4157
318	16172	4106
319	16220	4055
320	16268	4003
321	16320	3953
322	16368	3902
323	16416	3850
324	16463	3799
325	16511	3747
326	16558	3696
327	16606	3645
328	16656	3594
329	16703	3543
330	16751	3492
331	16799	3440
332	16846	3389
333	16894	3338
334	16942	3287
335	16990	3236
336	17039	3185
337	17088	3134
338	17137	3083
339	17183	3032
340	17231	2981
341	17279	2930
342	17327	2879
343	17374	2828
344	17421	2777
345	17469	2726
346	17517	2675
347	17566	2624
348	17615	2574
349	17662	2523
350	17711	2472
351	17759	2421
352	17805	2370
353	17855	2320
354	17904	2269
355	17950	2218
356	18003	2168
357	18073	2120
358	18126	2070
